# C/N/O/H reaction network based on Venot et al. (2012) with some revision
# Two-body Reactions
# id	Reactions                           	A       	B       	C
[ C2H5OOH + CH3 -> CH3CHO + OH + CH4 ]				  9.4700E-13  0.0000E+00  4.3700E+03 
[ C2H5OOH + C2H  -> CH3CHO +  OH + C2H2  ]				  9.9700E-13  0.0000E+00  4.6200E+03 
[ C2H5OOH + C2H3 ->  CH3CHO + OH + C2H4 ]				  1.6600E-12  0.0000E+00  4.3700E+03 
[ C2H5OOH + C2H5 -> CH3CHO + OH + C2H6  ]				  5.6500E-13  0.0000E+00  5.7300E+03 
[ C2H5OOH + OH ->  CH3CHO + OH + H2O]				  9.8000E-12  0.0000E+00  4.5200E+02 
[ C2H5OOH + HCO -> CH3CHO + OH + H2CO ]				  2.9900E-12  0.0000E+00  8.4000E+03 
[ C2H5OOH + CH3O ->  CH3CHO + OH + CH3OH ]				  1.0500E-12  0.0000E+00  2.7600E+03 
[ C2H5OOH + CH2OH ->  CH3CHO + OH + CH3OH  ]				  6.9800E-13  0.0000E+00  6.8400E+03 
[ C2H5OOH + CH3CO -> CH3CHO + CH3CHO + OH]				  3.3200E-12  0.0000E+00  9.3000E+03 
[ C2H5OOH + CH2CHO -> CH3CHO + CH3CHO + OH ]				  5.6500E-13  0.0000E+00  7.8900E+03 
[  C2H5OOH + OOH  -> CH3CHO + OH + H2O2 ]				  1.3300E-12  0.0000E+00  8.1400E+03 
[ C2H5OOH + CH3OO  -> CH3CHO + OH + CH3OOH]				  1.8300E-12  0.0000E+00  8.4000E+03 
[ C2H5OOH + C2H5OO ->  CH3CHO + OH + C2H5OOH]				  1.8300E-12  0.0000E+00  8.4000E+03 
[ CH3COOO + cC2H4O -> CH3COOOH + CH2CHO]				  1.6600E-12  0.0000E+00  4.6800E+03 
[ CH3COOO + OOH -> CH3COOOH + O2]				  9.1400E-14  0.0000E+00 -1.3100E+03 
[ CH3COOO + C2H5OOH -> CH3COOOH + C2H5OO]				  8.3100E-13  0.0000E+00  4.6200E+03 
[ CH3COOO + C2H5OOH -> CH3CHO + OH + CH3COOOH]				  8.3100E-13  0.0000E+00  4.6200E+03 
[ CH3COOO + CH3COOO ->  CH3 + CH3 + O2 + CO2 + CO2]				  2.8200E-12  0.0000E+00 -5.0300E+02 
[  CH3  + CO2   -> CH3OCO  ]				  7.9047E-17  1.5400E+00  1.7400E+04 
[ CH3O +  CO  ->  CH3OCO  ]				  2.5774E-18  2.0200E+00  2.8800E+03 
[ C2H4 + CH3 -> 1C3H7 ]				  3.4900E-13  0.0000E+00  3.7000E+03 
[  C2H5 + C2H4 -> 1C4H9   ]				  1.8300E-13  0.0000E+00  3.6700E+03 
[ H + 2C3H7 -> C3H8 ]				  1.3800E-11  0.0000E+00  0.0000E+00 
[ H + 1C3H7 -> C3H8]				  1.3800E-11  0.0000E+00  0.0000E+00 
[ C2H5 + C2H3  -> C4H8Y  ]				  2.4900E-11  0.0000E+00  0.0000E+00 
[ C2H5 + C2H5 ->  C4H10 ]				  1.8300E-11  0.0000E+00  0.0000E+00 
[ HCO + C2H3 -> C2H3CHO ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ HCO + C2H5 -> C2H5CHO ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ CH2OH + C2H5 -> C3H7OH  ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[ CH3CO + CH3  ->  C2H6CO]				  6.6440E-09 -8.0000E-01  0.0000E+00 
[ CH3CO + C2H5 -> C3H8CO ]				  5.1442E-10 -5.0000E-01  0.0000E+00 
[ C2H3CHO + OH -> CO + C2H3 + H2O]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ C2H3CHO + H  ->   CO +  C2H3 + H2]				  6.6500E-11  0.0000E+00  2.1100E+03 
[ C2H3CHO + H  ->  C2H4 + HCO   ]				  3.3200E-11  0.0000E+00  1.7600E+03 
[ C2H3CHO + O2 ->  CO + C2H3 + OOH  ]				  4.9800E-11  0.0000E+00  1.8100E+04 
[ NO +  NO ->  N2 + O2  ]				  4.9800E-13  0.0000E+00  3.2700E+04 
[ N2O + NO -> N2 + NO2  ]				  4.5700E-10  0.0000E+00  2.5100E+04 
[ NO2 + NO -> N2O + O2  ]				  1.6600E-12  0.0000E+00  3.0200E+04 
[ NO2 + NO2 ->  NO +  NO + O2  ]				  6.5600E-12  0.0000E+00  1.3900E+04 
[ NO2 + NO2 -> NO3 + NO  ]				  1.8779E-20  2.5800E+00  1.1400E+04 
[ NO3 +  NO2  ->  NO + NO2 + O2]				  1.9900E-13  0.0000E+00  1.6100E+03 
[ NO3 + NO3 -> NO2 + NO2 + O2  ]				  8.5000E-13  0.0000E+00  2.4500E+03 
[ NH + NH -> NNH + H ]				  8.4700E-11  0.0000E+00  0.0000E+00 
[ NH + NH -> N2 + H2  ]				  1.6600E-16  1.0000E+00  0.0000E+00 
[ NH + H2 -> NH2 + H ]				  1.6600E-10  0.0000E+00  1.0100E+04 
[ NH2 + NH -> N2H2 + H ]				  2.4942E-09 -5.0000E-01  0.0000E+00 
[ NH3 + NH -> NH2 + NH2  ]				  5.2500E-10  0.0000E+00  1.3500E+04 
[ NH2 + NH2 -> N2H2 + H2  ]				  1.6600E-11  0.0000E+00  7.5400E+02 
[ N2H3 +  H ->  NH2 + NH2 ]				  8.3100E-11  0.0000E+00  1.0100E+03 
[ NH3 +  H -> NH2 + H2  ]				  8.9987E-19  2.4000E+00  4.9900E+03 
[ NH3  +  NH2 ->  N2H3 + H2 ]				  1.6628E-13  5.0000E-01  1.0900E+04 
[ NNH + H -> N2 + H2 ]				  1.6600E-10  0.0000E+00  0.0000E+00 
[ NNH + NH ->  N2 + NH2   ]				  3.3198E-13  5.0000E-01  1.0100E+03 
[ NNH + NH2 -> N2 + NH3]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ NNH + NNH  -> N2H2 + N2   ]				  1.6600E-11  0.0000E+00  2.0100E+03 
[ N2H2 +  H  -> NNH + H2   ]				  1.4119E-19  2.6300E+00 -1.1600E+02 
[ N2H2 + NH -> NNH + NH2  ]				  1.6600E-11  0.0000E+00  3.0200E+03 
[ N2H2 + NH2  -> NH3 + NNH ]				  1.4666E-25  4.0500E+00 -8.1000E+02 
[ N2H3 + NH ->  N2H2 + NH2  ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ N2H3 + NNH -> N2H2 + N2H2]				  1.6600E-11  0.0000E+00  2.0100E+03 
[ N2H3 +  H  -> N2H2 + H2   ]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ N2H3  +  H -> NH + NH3  ]				  1.6600E-13  0.0000E+00  0.0000E+00 
[ N2H3 + NH2 -> NH3 + N2H2 ]				  1.6628E-13  5.0000E-01  0.0000E+00 
[ N2H3 + N2H2  ->  N2H4 + NNH ]				  1.6600E-11  0.0000E+00  3.0200E+03 
[ N2H3 + N2H3 ->  NH3 + NH3 + N2]				  4.9800E-12  0.0000E+00  0.0000E+00 
[ N2H3 + N2H3 -> N2H4 + N2H2 ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[ N2H4 + H -> N2H3 + H2 ]				  1.1600E-11  0.0000E+00  1.2600E+03 
[ N2H4 + H -> NH2 + NH3 ]				  3.9900E-15  0.0000E+00  1.5600E+03 
[ N2H4 + NH -> NH2 + N2H3 ]				  1.6608E-15  1.5000E+00  1.0100E+03 
[  N2H4 + NH2  -> N2H3 + NH3 ]				  2.9918E-18  1.7100E+00 -6.9400E+02 
[ N2O + H -> N2 + OH   ]				  3.6500E-10  0.0000E+00  8.4200E+03 
[ N2O + H -> NH + NO ]				  1.1119E-01 -2.1600E+00  1.8700E+04 
[ N2O + H  -> HNNO ]				  1.3260E+01 -4.3900E+00  5.2900E+03 
[ N2O + OH ->  N2 + OOH]				  1.6600E-10  0.0000E+00  1.5100E+04 
[ HNO + NO -> N2O + OH ]				  1.4100E-11  0.0000E+00  1.4900E+04 
[ HNO +  NO + NO -> HNNO + NO2  ]				  4.4100E-37  0.0000E+00  1.0500E+03 
[  HNNO + H  -> N2O + H2 ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ HNNO +  H  -> NH2 + NO  ]				  1.6600E-12  0.0000E+00  0.0000E+00 
[ HNNO + OH -> H2O + N2O ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ HNNO + OH -> HNOH + NO   ]				  1.6600E-12  0.0000E+00  0.0000E+00 
[ HNNO + NO -> N2 + HONO  ]				  4.3200E-13  0.0000E+00  8.1000E+02 
[ HNNO + NO ->  NNH + NO2 ]				  5.3200E-12  0.0000E+00  2.7200E+02 
[ HNNO + NO -> N2O + HNO   ]				  1.6600E-12  0.0000E+00  0.0000E+00 
[ HNNO + NO2 -> N2O + HONO ]				  1.6600E-12  0.0000E+00  0.0000E+00 
[ HNNO +  NO2 ->  NNH + NO3  ]				  1.6600E-11  0.0000E+00  8.5500E+03 
[ NO2 + H  -> NO + OH ]				  2.1900E-10  0.0000E+00  1.8200E+02 
[ NO2 + OH -> OOH + NO  ]				  3.0100E-11  0.0000E+00  3.3600E+03 
[ NO2 + OOH -> HONO + O2   ]				  7.7100E-13  0.0000E+00 -2.4100E+02 
[ NO2 + H2 -> HONO + H  ]				  1.2200E-12  0.0000E+00  1.4500E+04 
[ NO2 +  NH -> N2O + OH  ]				  1.4400E-13  0.0000E+00 -1.1400E+03 
[ NO2 + NH -> NO + HNO ]				  2.0700E-13  0.0000E+00 -1.1400E+03 
[ NO3 + H  -> NO2 + OH  ]				  1.1000E-10  0.0000E+00  0.0000E+00 
[ NO3 +  OH  -> NO2 + OOH   ]				  2.0100E-11  0.0000E+00  0.0000E+00 
[ NO3 + OOH -> HNO3 + O2  ]				  9.2200E-13  0.0000E+00  0.0000E+00 
[ NO3 + OOH  ->  NO2 + OH + O2 ]				  2.5100E-12  0.0000E+00  0.0000E+00 
[ N2O4 + H2O -> HONO + HNO3   ]				  4.1900E-10  0.0000E+00  5.8300E+03 
[   N2O3 + H2O -> HONO + HONO ]				  6.3000E-11  0.0000E+00  4.4600E+03 
[ HNO + H -> NO + H2   ]				  7.4077E-13  7.2000E-01  3.2900E+02 
[ HNO + OH -> NO + H2O    ]				  2.1589E-17  1.8800E+00 -4.8100E+02 
[ HNO + O2 ->  NO + OOH   ]				  3.6500E-14  0.0000E+00  4.6000E+03 
[ HNO + NH -> NH2 + NO  ]				  8.3138E-13  5.0000E-01  0.0000E+00 
[ HNO  + NH2 -> NH3 + NO ]				  3.3200E-11  0.0000E+00  5.0300E+02 
[ HNO +  HNO -> N2O + H2O   ]				  6.0331E-27  3.9800E+00  5.9800E+02 
[ HNO + HNO -> HNOH + NO  ]				  3.3200E-16  0.0000E+00  2.1000E+03 
[ HNO + NO2 -> HONO + NO   ]				  1.0000E-12  0.0000E+00  1.0100E+03 
[ HONO + H -> HNO + OH   ]				  9.3335E-14  8.6000E-01  2.5000E+03 
[  HONO + H ->  NO + H2O ]				  1.3484E-17  1.8900E+00  1.9300E+03 
[  HONO + OH ->  H2O + NO2  ]				  2.8100E-12  0.0000E+00 -2.6000E+02 
[ HONO + NH ->  NH2 + NO2   ]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ HONO + HONO -> H2O + NO2 + NO   ]				  1.6600E-11  0.0000E+00  4.2900E+03 
[ HONO + NH2 ->  NO2 + NH3  ]				  8.3100E-12  0.0000E+00  0.0000E+00 
[ HNO3 + H -> H2 + NO3 ]				  9.2282E-16  1.5300E+00  8.2400E+03 
[ HNO3 + H -> H2O + NO2]				  1.0130E-22  3.2900E+00  3.1600E+03 
[ HNO3 + H -> OH + HONO  ]				  6.3432E-19  2.3000E+00  3.5100E+03 
[ HNO3 + OH ->  NO3 +  H2O ]				  1.7100E-14  0.0000E+00 -6.2300E+02 
[ NH3 + OH  ->  NH2 + H2O  ]				  8.3010E-17  1.6000E+00  4.7800E+02 
[ NH3 + OOH -> NH2 + H2O2   ]				  4.9800E-13  0.0000E+00  1.1100E+04 
[ NH2 + OOH -> NH3 + O2 ]				  2.7348E-20  1.5500E+00  1.0200E+03 
[ NH2 + OH -> NH + H2O  ]				  1.4953E-16  1.5000E+00 -2.3100E+02 
[ NH2 + OH -> NH2OH   ]				  2.9721E-11  2.0000E-01  0.0000E+00 
[ NH2 + OOH ->  HNO + H2O ]				  9.4574E-09 -1.1200E+00  3.5600E+02 
[ NH2 + OOH -> H2NO + OH  ]				  4.8392E-07 -1.3200E+00  6.2800E+02 
[ NH2 + O2 -> HNO + OH ]				  1.6600E-11  0.0000E+00  1.3200E+04 
[ NH2 +  NO -> NNH + OH ]				  3.8080E-14  4.2500E-01 -4.0900E+02 
[ NH2 + NO  ->  N2 + H2O   ]				  4.5844E-04 -2.6500E+00  6.3200E+02 
[ NH2 + NO -> H2 + N2O ]				  1.6600E-11  0.0000E+00  1.6900E+04 
[ NH2 + NO2  ->  N2O + H2O  ]				  2.6902E-08 -1.4400E+00  1.3600E+02 
[ NH2 + NO2 -> H2NO + NO  ]				  1.0776E-07 -1.4400E+00  1.3600E+02 
[ NH + OH -> HNO + H  ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ NH + OH -> NO + H2   ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ NH + OOH -> HNO + OH   ]				  1.6600E-11  0.0000E+00  1.0100E+03 
[ NH + O2   ->   NO + OH  ]				  7.4759E-16  7.9000E-01  5.9800E+02 
[ NH + H2O  -> HNO + H2 ]				  3.3200E-11  0.0000E+00  6.9600E+03 
[ NH + N2O -> N2 + HNO ]				  3.3200E-12  0.0000E+00  3.0200E+03 
[ NH + NO  ->  N2 + OH ]				  1.0132E-10 -5.0000E-01  6.0300E+01 
[ N2H4 + OH  -> N2H3 + H2O   ]				  4.9840E-14  6.8000E-01  6.4900E+02 
[ N2H4 + OH -> NH3 + H2NO ]				  6.1000E-11  0.0000E+00  0.0000E+00 
[ N2H4 + OOH -> N2H3 + H2O2  ]				  6.6500E-11  0.0000E+00  1.0100E+03 
[ N2H3 + OH ->  N2H2 +  H2O  ]				  4.9840E-14  6.8000E-01  6.4900E+02 
[ N2H3 + OH -> NH3 + HNO   ]				  1.6600E-12  0.0000E+00  7.5400E+03 
[ N2H3 +  O2 ->   N2H2 + OOH  ]				  4.9800E-12  0.0000E+00  0.0000E+00 
[ N2H3 + OOH  ->  N2H2 + H2O2  ]				  1.6600E-11  0.0000E+00  1.0100E+03 
[ N2H3 + OOH -> N2H4 + O2  ]				  1.3300E-11  0.0000E+00  0.0000E+00 
[ N2H3 + NO -> HNO + N2H2]				  1.6600E-12  0.0000E+00  0.0000E+00 
[ N2H2 + OH  ->  NNH + H2O  ]				  9.8347E-23  3.4000E+00 -6.8400E+02 
[ N2H2 + OOH  ->  NNH + H2O2 ]				  1.6600E-11  0.0000E+00  1.0100E+03 
[ N2H2 + NO ->  N2O + NH2   ]				  4.9800E-14  0.0000E+00  0.0000E+00 
[ NNH + OH ->  N2 + H2O ]				  3.9900E-02 -2.8800E+00  1.2300E+03 
[  NNH + O2 -> N2 + OOH ]				  1.9957E-12 -3.4000E-01  7.5400E+01 
[ NNH + O2 -> N2O + OH ]				  4.8190E-13 -3.4000E-01  7.5400E+01 
[ NNH + OOH ->  N2 + H2O2  ]				  1.6600E-11  0.0000E+00  1.0100E+03 
[ NNH + NO  -> N2 + HNO  ]				  8.3100E-11  0.0000E+00  0.0000E+00 
[ NH2OH + OH -> HNOH + H2O ]				  4.1500E-11  0.0000E+00  2.1400E+03 
[ H2NO + H  -> HNO + H2 ]				  4.9778E-17  2.0000E+00  1.0100E+03 
[ H2NO +  H  -> NH2 + OH ]				  8.3100E-11  0.0000E+00  0.0000E+00 
[ H2NO + OH -> HNO + H2O  ]				  3.3222E-17  2.0000E+00  5.0300E+02 
[ H2NO  + OOH -> HNO + H2O2  ]				  4.8183E-20  2.6900E+00 -8.0400E+02 
[ H2NO + NH2 ->  HNO + NH3 ]				  4.9800E-12  0.0000E+00  5.0300E+02 
[ H2NO + O2  -> HNO + OOH ]				  4.9800E-12  0.0000E+00  1.2600E+04 
[ H2NO + NO  ->  HNO + HNO ]				  3.3222E-17  2.0000E+00  6.5400E+03 
[ H2NO + NO2 -> HONO + HNO ]				  9.9700E-13  0.0000E+00  1.0100E+03 
[ HNOH + H  ->  HNO + H2   ]				  7.9674E-16  1.5000E+00  1.9100E+02 
[ HNOH +  H  -> NH2 + OH  ]				  6.6500E-11  0.0000E+00  0.0000E+00 
[ HNOH + OH -> HNO + H2O ]				  3.9889E-18  2.0000E+00 -5.9800E+02 
[ HNOH + OOH -> HNO +  H2O2  ]				  4.8183E-20  2.6900E+00 -8.0400E+02 
[  HNOH + NH2 ->  HNO + NH3]				  2.9883E-18  1.9400E+00 -5.7800E+02 
[ HNOH + NO2 -> HONO + HNO ]				  9.9700E-13  0.0000E+00  1.0100E+03 
[ HNOH + O2  -> HNO +  OOH  ]				  4.9800E-12  0.0000E+00  1.2600E+04 
[ HNOH + HNO -> NH2OH + NO ]				  1.6600E-12  0.0000E+00  1.5100E+03 
[ C2H + NO ->  HCN + CO  ]				  9.9700E-11  0.0000E+00  2.8700E+02 
[  C2H + HCN -> CN + C2H2]				  5.3200E-12  0.0000E+00  7.6900E+02 
[ HCNN + H -> H2 + CNN ]				  8.3100E-11  0.0000E+00  0.0000E+00 
[ HCNN + OH ->  H2O + CNN ]				  1.6600E-11  0.0000E+00  4.0200E+03 
[ HCNN + OH ->  H + HCO + N2  ]				  1.6600E-11  0.0000E+00  8.0400E+03 
[   HCNN + O2 -> OOH + CNN ]				  1.6600E-12  0.0000E+00  2.0100E+03 
[ HCNN + O2 ->  H + CO2 + N2  ]				  6.6500E-12  0.0000E+00  0.0000E+00 
[  HCNN + O2  ->  HCO + N2O ]				  6.6500E-12  0.0000E+00  0.0000E+00 
[ CNN + OH -> H + CO + N2 ]				  1.6600E-11  0.0000E+00  5.0300E+02 
[  CNN + H -> NH + CN ]				  8.3100E-10  0.0000E+00  2.0100E+04 
[ CNN + OH -> HCN + NO  ]				  1.6600E-12  0.0000E+00  5.0300E+02 
[ CNN + O2 -> NO + NCO ]				  1.6600E-11  0.0000E+00  2.5100E+03 
[ HNO + CH3  -> NO + CH4  ]				  1.3621E-18  1.8700E+00  4.8000E+02 
[ HONO + CH3 -> NO2 + CH4  ]				  1.3457E-18  1.8700E+00  2.7700E+03 
[ H2NO + CH3 -> CH3O + NH2  ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ H2NO + CH3 -> HNO + CH4  ]				  2.6588E-18  1.8700E+00  1.4900E+03 
[ HNOH + CH3 -> HNO + CH4 ]				  2.6588E-18  1.8700E+00  1.0500E+03 
[ NH2OH + CH3 -> HNOH + CH4 ]				  2.6588E-18  1.8700E+00  3.1900E+03 
[ NH2OH + CH3 -> H2NO + CH4  ]				  1.3621E-18  1.8700E+00  2.7600E+03 
[ N2H2 + CH3 ->  NNH + CH4 ]				  2.6588E-18  1.8700E+00  1.4900E+03 
[ N2H3 + CH3  -> N2H2 + CH4  ]				  1.3621E-18  1.8700E+00  9.1400E+02 
[ N2H4 + CH3 -> N2H3 + CH4  ]				  5.4809E-18  1.8700E+00  2.6800E+03 
[ CH4 + NH  -> CH3 + NH2   ]				  1.5000E-10  0.0000E+00  1.0100E+04 
[ CH4 + NH2 -> CH3 + NH3  ]				  1.9900E-11  0.0000E+00  7.6200E+03 
[ C2H6 + NH -> C2H5 + NH2 ]				  1.1600E-10  0.0000E+00  8.4000E+03 
[ C2H6 + NH2 ->  C2H5 + NH3  ]				  1.6100E-11  0.0000E+00  5.7700E+03 
[ C3H8 + NH2 ->  1C3H7 + NH3  ]				  2.8200E-11  0.0000E+00  5.3600E+03 
[ C3H8 + NH2 -> 2C3H7 + NH3  ]				  7.4700E-13  0.0000E+00  3.0900E+03 
[ CH3NO + H  ->  H2CNO + H2  ]				  7.3131E-16  1.5000E+00  1.9000E+02 
[ CH3NO + H -> CH3 + HNO  ]				  2.9900E-11  0.0000E+00  1.4100E+03 
[ CH3NO + OH ->  H2CNO + H2O ]				  5.9778E-18  2.0000E+00 -5.9900E+02 
[ CH3NO + OH -> CH3 + HONO  ]				  4.1500E-12  0.0000E+00  5.0300E+02 
[ CH3NO + CH3  -> H2CNO + CH4 ]				  1.3131E-18  1.8700E+00  2.7200E+03 
[ CH3NO + NH2 -> H2CNO + NH3  ]				  4.6467E-18  1.9400E+00  5.4000E+02 
[ H2CNO + O2 ->  H2CO  +  NO2 ]				  4.8170E-12 -3.1000E-01  8.9000E+03 
[ H2CNO + H  ->  CH3  +  NO ]				  6.6500E-11  0.0000E+00  0.0000E+00 
[ H2CNO + H -> HCNO + H2 ]				  7.9674E-16  1.5000E+00 -4.5000E+02 
[ H2CNO + OH  -> CH2OH + NO  ]				  6.6500E-11  0.0000E+00  0.0000E+00 
[  H2CNO + OH  -> HCNO + H2O]				  3.9889E-18  2.0000E+00 -5.9900E+02 
[ H2CNO + CH3 -> C2H5 + NO ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ H2CNO + CH3  -> HCNO + CH4   ]				  2.6588E-18  1.8700E+00 -5.6000E+02 
[ H2CNO + NH2 -> HCNO + NH3   ]				  2.9883E-18  1.9400E+00 -5.7900E+02 
[ CH3 + NO2 -> CH3O + NO  ]				  2.3300E-11  0.0000E+00  0.0000E+00 
[ CH + NO2 -> HCO + NO  ]				  1.9900E-10  0.0000E+00  0.0000E+00 
[ CN  + NO -> N2 + CO]				  1.6600E-13  0.0000E+00  0.0000E+00 
[ CH3O + HNO -> CH3OH + NO ]				  5.2500E-11  0.0000E+00  0.0000E+00 
[  NCO + OOH  ->  HNCO + O2]				  3.3200E-11  0.0000E+00  0.0000E+00 
[  N2O +  CO  ->  CO2 +  N2]				  4.1700E-10  0.0000E+00  2.3100E+04 
[  N2O + CH3 -> CH3O + N2]				  1.4900E-14  0.0000E+00  0.0000E+00 
[ N2O + HCO  ->  CO2 + H + N2  ]				  2.8200E-10  0.0000E+00  1.0100E+04 
[ N2O + CHCO  -> CO + HCO + N2  ]				  2.8200E-10  0.0000E+00  1.2800E+04 
[ N2O + C2H2  ->  CHCO + H + N2 ]				  1.0900E-07  0.0000E+00  3.0800E+04 
[ N2O  + C2H3 -> CH2CHO + N2 ]				  1.6600E-13  0.0000E+00  0.0000E+00 
[ HOCN + H -> NCO + H2   ]				  3.3222E-17  2.0000E+00  1.0100E+03 
[ HOCN + H -> NH2 + CO ]				  1.9915E-16  6.1000E-01  1.0500E+03 
[ HOCN + OH  -> NCO + H2O ]				  1.0600E-18  2.0000E+00  1.2900E+03 
[ HOCN  + CH3 -> NCO + CH4  ]				  1.3621E-18  1.8700E+00  3.3300E+03 
[  HOCN + NH2 -> NCO + NH3 ]				  1.5285E-18  1.9400E+00  1.8300E+03 
[  CN + NO2 -> CO + N2O  ]				  8.1661E-10 -7.5200E-01  1.7300E+02 
[  CN + NO2 -> CO2 + N2 ]				  6.1464E-10 -7.5200E-01  1.7300E+02 
[  CN + CO2  ->  NCO + CO]				  6.1114E-18  2.1600E+00  1.3500E+04 
[  CN + NH3 -> HCN + NH2 ]				  1.5300E-11  0.0000E+00 -1.8000E+02 
[ HNCO + CN -> HCN + NCO  ]				  2.4900E-11  0.0000E+00  0.0000E+00 
[ NCO + CN -> CNN + CO  ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ HONO + NCO -> HNCO + NO2 ]				  5.9800E-12  0.0000E+00  0.0000E+00 
[ NCO + H2CO ->  HNCO + HCO  ]				  9.9700E-12  0.0000E+00  0.0000E+00 
[  NH2 + C  -> CH + NH ]				  9.6334E-13  6.7000E-01  1.0500E+04 
[ H2CN + H  -> HCN + H2   ]				  3.9837E-16  1.5000E+00 -4.5000E+02 
[ H2CN + OOH -> HCN + H2O2]				  2.3223E-20  2.6900E+00 -8.1000E+02 
[ H2CN + O2  -> H2CO + NO]				  4.9800E-12  0.0000E+00  3.0200E+03 
[  H2CN + CH3 -> HCN + CH4  ]				  1.3457E-18  1.8700E+00 -5.6000E+02 
[ H2CN + OH -> HCN + H2O ]				  1.9889E-18  2.0000E+00 -5.9900E+02 
[ H2CN + NH2 -> HCN + NH3 ]				  1.5285E-18  1.9400E+00 -5.7900E+02 
[ CH + NO -> CN + OH   ]				  2.7900E-12  0.0000E+00  0.0000E+00 
[ CH + NO -> CO + NH  ]				  1.6400E-11  0.0000E+00  0.0000E+00 
[ CH + NO ->  NCO + H  ]				  2.7700E-11  0.0000E+00  0.0000E+00 
[ CH3 + NO -> HCN + H2O ]				  3.9900E-12  0.0000E+00  7.8900E+03 
[ CH3 + NO ->  H2CN + OH  ]				  8.6400E-12  0.0000E+00  1.2200E+04 
[ CHCO + NO  -> HCNO + CO  ]				  7.7100E-11  0.0000E+00  3.5200E+02 
[ CHCO +  NO -> HCN + CO2 ]				  2.3100E-11  0.0000E+00  3.5200E+02 
[ HCNO +  H -> HCN + OH  ]				  1.6600E-10  0.0000E+00  6.0300E+03 
[ HCNO + H -> HNCO + H ]				  3.4863E-09 -6.9000E-01  1.4300E+03 
[  HCNO + H  -> HOCN + H]				  2.3261E-13 -1.9000E-01  1.2500E+03 
[ HCNO + H -> NH2 + CO ]				  2.8257E-10 -7.5000E-01  1.4500E+03 
[ HCNH + H  -> H2CN + H ]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ HCNH + H ->  HCN + H2 ]				  3.9837E-16  1.5000E+00 -4.5000E+02 
[ HCNH + OH -> HCN + H2O  ]				  1.9889E-18  2.0000E+00 -5.9900E+02 
[ HCNH + CH3  ->  HCN + CH4 ]				  1.3621E-18  1.8700E+00 -5.6000E+02 
[ CN + H2O  ->  HCN + OH ]				  6.6500E-12  0.0000E+00  3.7200E+03 
[ CN + H2O  -> HOCN + H ]				  6.6500E-12  0.0000E+00  3.7200E+03 
[  OH + HCN ->  HOCN + H]				  5.3155E-20  2.4500E+00  6.0900E+03 
[  OH + HCN -> HNCO + H ]				  9.2949E-30  4.7100E+00 -2.4600E+02 
[ OH + HCN -> NH2 + CO  ]				  1.0700E-13  0.0000E+00  5.8800E+03 
[ HOCN + H  -> HNCO + H    ]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ CN + H2  -> HCN + H  ]				  3.3196E-20  2.8700E+00  8.0400E+02 
[ CN + OH -> NCO + H ]				  6.6500E-11  0.0000E+00  0.0000E+00 
[  CN + HCN  ->  C2N2 + H ]				  2.5096E-17  1.7100E+00  7.6900E+02 
[  CN + NO2 -> NCO + NO]				  8.8223E-09 -7.5200E-01  1.7300E+02 
[ CN + N2O -> NCO + N2   ]				  9.9700E-12  0.0000E+00  7.7200E+03 
[ C2N2 + OH  -> HNCO + CN ]				  3.0900E-13  0.0000E+00  1.4600E+03 
[ C2N2 + OH ->  HOCN + CN  ]				  3.3200E-12  0.0000E+00  9.5500E+03 
[ HNCO + H ->  H2 + NCO  ]				  2.9262E-19  2.4100E+00  6.1800E+03 
[ HNCO +  H -> NH2 + CO   ]				  5.9833E-20  2.4900E+00  1.1800E+03 
[ HNCO + OH ->  NCO +  H2O ]				  5.7350E-17  1.5000E+00  1.8100E+03 
[ HNCO + OH  -> NH2 + CO2  ]				  1.0476E-13 -6.0000E-02  5.8600E+03 
[  HNCO + OOH -> NCO + H2O2 ]				  4.9800E-13  0.0000E+00  1.4600E+04 
[ HNCO + O2 -> HNO + CO2 ]				  1.6600E-12  0.0000E+00  1.7600E+04 
[  HNCO + NH2  -> NCO + NH3 ]				  8.3100E-12  0.0000E+00  3.1200E+03 
[ HNCO + NH -> NCO + NH2 ]				  1.7300E-09  0.0000E+00  1.9800E+04 
[ NCO + H  ->  NH +  CO   ]				  8.9000E-11  0.0000E+00  0.0000E+00 
